book_id,title,subtitle,authors,publisher,published_date,print_type,page_count,language,categories,isbn_10,isbn_13,is_ebook,list_price_amount,retail_price_amount,currency,text_to_speech_permission,epub_available,pdf_available
GRbREAAAQBAJ,Deep Learning,A Beginners' Guide,Dulani Meedeniya,CRC Press,,BOOK,198,en,"Computers / Data Science / Machine Learning, Computers / Programming / Games, Computers / Data Science / Data Analytics, Computers / Machine Theory, Mathematics / Arithmetic, Computers / Artificial Intelligence / General, Computers / Programming / Algorithms, Technology & Engineering / Automation",1000924068,9781000924060,,1947442,1485821,VND,ALLOWED,TRUE,TRUE
GufjEAAAQBAJ,Machine Learning in Healthcare and Security,"Advances, Obstacles, and Solutions","Prashant Pranav, Archana Patel, Sarika Jain",CRC Press,,BOOK,224,en,"Computers / Data Science / Machine Learning, Technology & Engineering / Industrial Engineering, Technology & Engineering / Manufacturing, Technology & Engineering / Operations Research, Technology & Engineering / Automation, Computers / Software Development & Engineering / Systems Analysis & Design, Medical / Epidemiology, Design / Product, Computers / Data Science / Data Analytics, Computers / Security / General, Technology & Engineering / Telecommunications, Computers / Artificial Intelligence / General, Law / Computer & Internet, Business & Economics / Government & Business, Medical / Health Care Delivery, Technology & Engineering / Electrical, Technology & Engineering / Engineering (General)",1003825907,9781003825906,,1947442,1485821,VND,ALLOWED,TRUE,TRUE
Hif4DwAAQBAJ,Docker for Developers,Develop and run your application with Docker containers using DevOps tools for continuous delivery,"Richard Bullington-McGuire, Andrew K. Dennis, Michael Schwartz",Packt Publishing Ltd,,BOOK,468,en,"Computers / Distributed Systems / General, Computers / Software Development & Engineering / Tools, Computers / System Administration / Linux & UNIX Administration",178953948X,9781789539486,,888270,621789,VND,ALLOWED,TRUE,TRUE
pFjPDwAAQBAJ,Mathematics for Machine Learning,N/A,"Marc Peter Deisenroth, A. Aldo Faisal, Cheng Soon Ong",Cambridge University Press,,BOOK,398,en,"Computers / Artificial Intelligence / General, Computers / Artificial Intelligence / Computer Vision & Pattern Recognition, Computers / Optical Data Processing, Mathematics / Applied, Mathematics / Probability & Statistics / General, Science / General",1108470041,9781108470049,,1448700,1258262,VND,ALLOWED,FALSE,TRUE
ZMjszgEACAAJ,Teach Yourself Data Analytics in 30 Days,"Learn to Use Python and Jupyter Notebooks by Exploring Fun, Real-world Data Projects",David Clinton,"North Haven, CT",2021-01-01,BOOK,130,en,N/A,1777721008,9781777721008,,235743,235743,VND,ALLOWED,FALSE,FALSE
bEID0AEACAAJ,Generative AI,How ChatGPT and Other AI Tools Will Revolutionize Business,Tom Taulli,Apress,,BOOK,208,en,"Mathematics / Probability & Statistics / General, Computers / Artificial Intelligence / General, Computers / Speech & Audio Processing, Computers / Artificial Intelligence / Expert Systems, Computers / Database Administration & Management, Language Arts & Disciplines / Linguistics / General, Computers / Information Technology, Language Arts & Disciplines / Linguistics / Historical & Comparative",148429369X,9781484293690,,795468,795468,VND,ALLOWED,FALSE,FALSE
0rhp0QEACAAJ,Docker for Developers,Simplify Your Development Workflow with Containers and Orchestration,"RAFAEL. SANDERS, Miguel Farmer, Boozman Richard",Amazon Digital Services LLC - Kdp,,BOOK,190,en,Computers / Languages / Python,,9798286271474,,579217,579217,VND,ALLOWED,FALSE,FALSE
0gbuDwAAQBAJ,Learn C Programming,A beginner's guide to learning C programming the easy and disciplined way,Jeff Szuhay,Packt Publishing Ltd,,BOOK,646,en,"Computers / Languages / C, Computers / Computer Science, Computers / Computer Engineering",1789348633,9781789348637,,956622,669635,VND,ALLOWED,TRUE,TRUE
kvxvDQAAQBAJ,Learning JavaScript Data Structures and Algorithms,N/A,Loiane Groner,Packt Publishing Ltd,,BOOK,314,en,"Computers / Languages / JavaScript, Computers / Internet / Web Programming, Computers / Programming / Algorithms",178355388X,9781783553884,,990798,693559,VND,ALLOWED,TRUE,TRUE
YMNgEQAAQBAJ,Learning Python,An In-Depth Guide for All Levels,Mustafa Germec,Independently published,,BOOK,387,en,Computers / Languages / Python,,9798338451489,,265722,180691,VND,ALLOWED,FALSE,TRUE
CgLgh5vQcPgC,Learning C# 3.0,Master the fundamentals of C# 3.0,"Jesse Liberty, Brian MacDonald","O'Reilly Media, Inc.",,BOOK,696,en,"Computers / Languages / C#, Computers / General, Computers / Programming / General, Computers / Programming / Object Oriented",596554206,9780596554200,,396035,269304,VND,ALLOWED,TRUE,TRUE
94LoDwAAQBAJ,Learn SQL Database Programming,Query and manipulate databases from popular relational database servers using SQL,Josephine Bush,Packt Publishing Ltd,,BOOK,564,en,"Computers / Languages / General, Computers / Languages / SQL, Computers / Data Science / General, Computers / Database Administration & Management",1838981705,9781838981709,,871843,610290,VND,ALLOWED,TRUE,TRUE
OuhbEQAAQBAJ,"SQL Programming | The Ultimate Guide for Beginners to Advanced | Learn SQL for Databases, Queries, and Data Analysis",N/A,Aamer Khan,Code Academy,,BOOK,250,en,"Computers / Database Administration & Management, Computers / Programming / General, Computers / Languages / General",8195765688,9788195765683,,48828,48828,VND,ALLOWED,TRUE,TRUE
lc_xDwAAQBAJ,Learn SQL with MySQL,Retrieve and Manipulate Data Using SQL Commands with Ease,Ashwin Pajankar,BPB Publications,,BOOK,132,en,"Computers / General, Computers / Business & Productivity Software / Databases, Computers / Languages / Python, Computers / Languages / SQL",9389898080,9789389898088,,289381,196779,VND,ALLOWED,TRUE,TRUE
eENiEQAAQBAJ,Advancements in Cybersecurity,Next-Generation Systems and Applications,"Agbotiname Lucky Imoize, Oleksandr Kuznetsov, Oleksandr Lemeshko, Oleksandra Yeremenko",CRC Press,,BOOK,548,en,"Computers / Security / General, Computers / Internet / Online Safety & Privacy, Mathematics / Applied, Law / Computer & Internet, Mathematics / Logic, Mathematics / Discrete Mathematics",1040363253,9781040363256,,4651240,3648858,VND,ALLOWED,TRUE,TRUE
DhLGDwAAQBAJ,"Advances in Data Science, Cyber Security and IT Applications","First International Conference on Computing, ICC 2019, Riyadh, Saudi Arabia, December 10–12, 2019, Proceedings, Part I","Auhood Alfaries, Hanan Mengash, Ansar Yasar, Elhadi Shakshuki",Springer Nature,,BOOK,330,en,"Computers / Networking / General, Computers / Artificial Intelligence / General, Computers / General, Computers / Business & Productivity Software / General, Computers / Artificial Intelligence / Computer Vision & Pattern Recognition, Computers / Image Processing, Computers / Networking / Hardware, Computers / Desktop Applications / General, Computers / Optical Data Processing",3030363651,9783030363659,,1708498,1195949,VND,ALLOWED,TRUE,TRUE
